,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11,mean_cell_type_factorsfact_12,mean_cell_type_factorsfact_13,mean_cell_type_factorsfact_14,mean_cell_type_factorsfact_15,mean_cell_type_factorsfact_16,mean_cell_type_factorsfact_17,mean_cell_type_factorsfact_18
Goblet cell,0.0,0.004062271980092011,0.0,0.0,0.5987541519492239,0.08679313733817852,0.0,0.0028844669414828258,0.0,0.0,0.06914998391415136,0.001064618279249855,0.0,0.0,0.2166268159115457,0.0,0.0,0.007125710952165005,0.013538842733911056
ICC,0.019654912971954413,0.020693729986674726,0.0,0.09816548222648068,0.0,0.0,0.0,0.0797633163890341,0.15290032441357626,0.2744213257534904,0.0,0.0,0.005068443360075547,0.0,0.024954603849821178,0.0,0.0,0.30178039255973355,0.022597468489159257
ILC2,0.0,0.0,0.0,0.0011340864269546776,0.0862999183949665,0.0,0.0,0.3276033788243152,0.0005770703179059375,0.0,0.024848403109184628,0.02062349401155939,0.009322014037878827,0.2850314825655592,0.01848294774009264,0.0,0.0012222675080429974,0.004508290517637909,0.22034664654590214
ILCP,0.0,0.0,0.0,0.0006517285826469675,0.07234430600276451,0.0001040375371728667,0.0,0.17769435219460625,0.0008016086167905473,0.00044664284249330133,0.0,0.009193506686619142,0.003028514818620172,0.2209418391739015,0.4407506287388289,0.0,0.0,0.002588720197290101,0.07145411460826571
Immature B,0.0,0.0,0.0014707043701979508,0.00024775750847671086,0.0,0.0,0.0,0.07840604672875656,0.000795429787059409,0.0,0.0,0.0,0.0155271280673702,0.8628014458465675,0.007657036107835141,0.007729677784457911,0.015459810641796239,0.004710183811424228,0.005194779346058074
LEC1 (ACKR4+),0.05239256621493407,0.0,0.015703046739548473,0.0009830215780587128,0.0687249437277558,0.0014849615767290707,0.0,0.3300122476912432,0.0,0.0,0.03136071603829011,0.012432325893956313,0.03729168356963315,0.16020658904164675,0.0,0.004245281375567301,0.019750633137110365,0.01997531271374361,0.24543667070178296
LEC2 (MADCAM1+),0.132912003432476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007195437402387298,0.0,0.7737731184835597,0.04935797959810184,0.0,0.0,0.0,0.03676146108347537
LEC4 (STAB2+),0.9776292465916564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00704780181256007,0.0,0.0,0.0,0.0,0.015322951595783505,0.0,0.0,0.0
LEC5 (CLDN11+),0.07365693986095251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034647434596597374,0.02251848841807178,0.035449928256095914,0.0013947554188338935,0.0,0.7099601271018217,0.008253366660273003,0.0,0.0,0.14841991993798523
LTi-like ILC3,0.0,0.0,0.0,0.0007758338809274292,0.04224835661674432,0.0029872958333794822,0.0,0.17218162323301903,0.0014770935741776543,0.0,0.0,0.008483881635776448,0.0,0.3702077004630498,0.3088639532761074,0.0,0.0,0.0044116456647717,0.08836261582204674
LTi-like NK/T,0.0,0.00043378794276733326,3.711324513121481e-05,0.0,0.0,0.0,0.03832676723948713,0.0,0.0,0.0,0.22044025504677897,0.0,0.00020073658289225144,0.0,0.725268091785349,1.9608568850865988e-05,3.3659475746271625e-06,0.0,0.015270273641168518
LYVE1+ Macrophages,0.2255298176962498,0.0,0.0,0.0,0.0,0.0,0.0,0.023878193232962627,0.0,0.0,0.0017322689706498538,0.07602026666227102,0.0,0.3790909739950712,0.01243927822073574,0.23910524907291245,0.0,0.034439095125047704,0.007764857024099777
Lymphoid DC,0.0,0.0,0.0,0.0012447927133728816,0.012512337094200857,0.024656093920919293,0.0,0.1425295266316033,0.0,0.0,0.09559640781021096,0.0013839526081040074,0.0,0.5170311956030504,0.0,0.0,0.0,0.011123058443506615,0.19392263517503175
Macrophages,0.0,0.0,0.0,0.0,0.0,0.014843799433062244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06625072717225633,0.7947818666900951,0.0,0.0,0.0,0.12412360670458639
Mast cell,0.040714200680086056,0.0,0.022861223745414466,0.004028485626856226,0.038798667099622805,0.19814817555529704,0.0,0.18184788275166164,0.0,0.0,0.0,0.04316429417623893,0.0405903468701388,0.2863547326376196,0.01383523457772437,0.0054351496819911,0.012636257244935011,0.013260064307658114,0.09832528504475577
Megakaryocyte,0.0,0.0,0.027910109463622847,0.00013811018966527786,0.0,0.0,0.0,0.0,0.0,0.0,0.8352933958668912,0.0018040547221950514,0.00217446911613437,0.0,0.0,0.0009857909998215765,0.0,0.00365520916709275,0.128038860474577
Mesoderm 1 (HAND1+),0.00851009689628902,0.002608729332937728,0.0016894993575469039,0.005717643334071074,0.0,0.0009980621383615562,0.018205156068871093,0.06148561845110126,0.005167544332553039,0.006801162493875129,0.0,0.014220396000414904,0.005368389369184772,0.007874351836510918,0.8287040101947027,0.0,0.0017328248133818573,0.015995535877660685,0.014920979502537311
Mesoderm 2 (ZEB2+),0.0,0.019142363720671796,0.0,0.0028277849480157617,0.0023001212513670587,0.002028978389679692,0.00013346878403987263,0.0030585415387091772,0.005382516495974777,0.00831376989631115,0.0,0.9413621761202201,0.0,0.0,0.007680009360833014,0.0,0.0,0.007048701523033266,0.0007215679711442117
Mesothelium,0.013703924000105224,0.0,0.0,0.0,0.0,0.04273269664162007,0.0,0.3718776096318154,0.0,0.0,0.07015928216958517,0.0024485772286828773,0.052616512469110886,0.0,0.0,0.062085497916115256,0.0,0.302572127863949,0.0818037720790162
Microfold cell,0.0,0.0,0.0,0.00020159796167545748,0.07386118392531672,0.0,0.0,0.07469314754705218,0.0002816222659340983,0.0,0.5523237240137601,0.0006824387895940769,0.0,0.01891469762431086,0.27750866219733494,0.0,0.0,0.0015329256750217222,0.0
Monocytes,0.13839306806870225,0.0,0.0,0.0,0.0,0.0,0.0,0.16433178909405885,0.0,0.0,0.007561599484713041,0.03553909922715566,0.0,0.4700702606709174,0.0,0.0,0.00680603289742138,0.0036796956717384493,0.17361845488529298
NK T cell,0.0,0.0,0.0,0.0008417961237525112,0.1229824175852235,0.01035582843742213,0.0,0.22833596596298897,0.0,0.0,0.0,0.011925320291719338,0.0,0.5044482397365141,0.006453546491610641,0.0,0.0,0.0030810236729261016,0.11157586169784284
NK cell,0.0,0.0,0.0,0.0010970402642565835,0.0849320366705983,0.024574832740932813,0.0,0.2275097295308541,3.9491174917299495e-05,0.0,0.0,0.012754280866463024,0.0012141617710822933,0.31293482538047857,0.176171080903525,0.0,0.0,0.0073505425476374005,0.1514219781492546
Neuroblast,0.37235132718352726,0.02476154693296083,0.121071536942378,0.0,0.0,0.0,0.0,0.0,0.0,0.00431542872651295,0.0,0.0,0.13679038755458975,0.0,0.00617840533275334,0.15927601445805845,0.1752553528692195,0.0,0.0
Paneth,0.0,0.0,0.0,0.0,0.28747740216678397,0.011937124086897833,0.0,0.6577119748974375,0.0,0.0,0.013091954517436607,0.0,0.0,0.0,0.0215032776346487,0.0,0.0,0.0,0.008278266696795086
Pericyte,0.0,0.0,0.03248221981104092,0.0,0.0,0.484042870196053,0.0,0.0,0.0,0.0,0.07486616167012418,0.1101242067831839,0.07265686541148512,0.0,0.0,0.0,0.0,0.0,0.22582767612811278
Pre-B,0.0018896180348468286,0.0008159250168776731,0.0006436725042817768,0.0,0.0,0.0014311805877093543,0.02767688729734285,0.035830799305274316,0.0,0.0,0.0,0.0025958626028479903,0.002675650805286364,0.05194073239478477,0.8623702732523688,0.0,0.0006134451135097052,0.00084776704625345,0.010668186038616157
Pro-B,0.0,0.05326099790595454,0.12893453265683497,0.0,0.06762215455641282,0.2079365415632507,0.003296528592451155,0.009956538340698057,0.0,0.0,0.0,0.22477203707172805,0.0,0.2952330990830683,0.0,0.0,0.0,0.0,0.008987570229601588
RBC,0.0,0.0,0.9621230828140748,0.0,0.0,0.009080157315022258,0.0,0.003982982640075458,0.0,0.0,0.0,0.013221730175165782,0.0,0.0,0.0,0.0,0.0,0.0,0.011592047055661756
SELL+ CD4 T,0.027799487932483984,0.0,0.0,0.009329784821940362,0.026778602054164605,0.3064884041347572,0.0,0.2538050097597972,0.006769048189031503,0.006224073976359293,0.0,0.021294618156710306,0.0065296204081571165,0.2510618830097481,0.0,0.0,0.0,0.007992430980430813,0.0759270365764194
SELL+ CD8 T,0.3346085227658013,0.07722218760587206,0.06958426147850537,0.025473370527596857,0.005867744518300418,0.16380788772421614,0.0,0.03852579384343645,0.013940649939732565,0.014858756394842495,0.0,0.011159286979008374,0.07045529427554058,0.048805024177155716,0.0,0.013366336765285517,0.0696072273518637,0.04196297516245151,0.0007546804903910162
SMC (PART1/CAPN3+),0.0,0.0,0.0,0.0,0.001982807797051988,0.0,0.0007303457388604423,0.0,0.002253891603781375,0.0,0.0010039829477440426,0.0,0.0006509940376132035,0.0,0.001008680344408529,0.0012045354739426907,0.0,0.9910408437415693,0.000123918315028495
SMC (PLPP2+),0.0,0.0487677822615036,0.0,0.5824603003254301,0.0,0.0,0.0013982945373509606,0.0015951380107517247,0.010294709881601737,0.1478356864554367,0.0057343870882605565,0.0,0.0,0.0,0.013496667608919294,0.0,0.0,0.18841703383074526,0.0
Stem cells,0.0,0.0,0.0,0.0,0.0022483579740361203,0.0,0.00036648962786835817,0.9973067768649592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.837553313641117e-05,0.0,0.0,0.0
Stromal 1,0.0,0.0,0.0,0.0,0.04473793149517451,0.5418283072258546,0.0,0.035539857647979595,0.0,0.0,0.0,0.0,0.0,0.04320421588681454,0.1680191139089383,0.0,0.0,0.0,0.16667057383523864
Stromal 2,0.0,0.0,0.0,0.0,0.026783420018851055,0.0,0.007083080913458423,0.015305486714370308,0.0,0.0,0.17323514687822428,0.0,0.0,0.0,0.215819896108975,0.0,0.0,0.0,0.5617729693661209
Stromal 3,0.014924603215621755,0.0,0.12830468622431077,0.0,0.0,0.0,0.0,0.0,0.0007583151069751535,0.0,0.0,0.0,0.05031464321087001,0.0,0.0,0.7083799418274018,0.07643746620734422,0.020880344207476375,0.0
TA,0.0,0.00022822736729214948,0.0,0.0,0.9334423596510084,0.02949943958186151,0.0,0.036829973399838026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRDV2/TRGV9 gdT,0.0,0.0,0.0,0.0006222774479960208,0.06699132816439907,0.0,0.0,0.22054857974935035,0.00043675638832601225,0.0,0.3203894290978675,0.007820025374549316,0.0012881104782047211,0.21924692131785986,0.0015963233021244754,0.0,0.0,0.0014414272674531468,0.15961882141186953
Treg,0.0,0.0,0.0,0.00039706487934763597,0.0067179421155379795,0.0,0.0,0.07660430449861233,0.00017883775594933364,0.0,0.7071851431350209,0.002896158426539469,0.0,0.08260361314407483,0.0,0.0,0.0,0.000980373902849348,0.12243656214206827
Tuft,0.0,0.0,0.0,0.0,0.05759008837692288,0.0,0.028259007315493467,0.05029943418349876,0.0,0.0,0.021223252862858262,0.0017823495392441271,0.0003978882001453962,0.00828788795424631,0.8185435829112898,0.0,0.0,0.0038646075972880865,0.009751901059012741
Venous ECs,0.03896413421764425,0.0,0.7511621838353281,0.0,0.0,0.02372862210564926,0.0,0.0,0.0,0.0,0.0,0.009331327118623082,0.14527723165132653,0.021822781962389258,0.0066977472181741155,0.0,5.6767911217036586e-05,0.0029592039796484766,0.0
angiogenic pericyte,0.0746043024478269,0.0,0.5869414874420673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1964155009269786,0.0,0.0,0.09644426512498692,0.045594444058140136,0.0,0.0
cDC1,0.0,0.0,0.0,0.0004122068955156371,0.13397294812520097,0.06624970486326634,0.0,0.19356302446087104,0.0,0.0,0.0,0.01880774809445742,0.017479082876916754,0.38270080737763973,0.0064670531488210704,0.0,0.0,0.008521829379388337,0.17182559477792284
cDC2,0.0,0.0,0.0,0.0,0.03166405440998959,0.4012313850146404,0.0,0.04796820387619376,0.0,0.0,0.0,0.0,0.0,0.45971299841247343,0.0,0.0,0.0,0.010889787151369653,0.04853357113533333
capillary,0.028780486354935075,0.0,0.014160933242132651,0.0,0.0,0.4125947691624599,0.0,0.0,0.0,0.0,0.08729329956301092,0.0013310652943248724,0.00687924902492181,0.0025036637541818196,0.0,0.0,0.0,0.019915493578872345,0.4265410400251606
mLTo,0.09496877705561836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9050312229443817,0.0,0.0,0.0,0.0,0.0
myofibroblast (RSPO2+),0.0,0.0,0.0,0.0,0.0,0.969738875669636,0.002023147135651718,0.0,0.0,0.0,0.0,0.028076270850706533,0.0,0.0,0.0,0.0,0.00016170634400577822,0.0,0.0
pDC,0.0,0.0,0.0,0.000989428857859911,0.10480964753141644,0.0,0.0,0.2126608093613307,0.0,0.0,0.27247160172231166,0.018615056665223628,0.003933699125826323,0.2014157189207745,0.0,0.0,0.0,0.01183345073112106,0.17327058708413573
