,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11,mean_cell_type_factorsfact_12,mean_cell_type_factorsfact_13,mean_cell_type_factorsfact_14,mean_cell_type_factorsfact_15,mean_cell_type_factorsfact_16,mean_cell_type_factorsfact_17,mean_cell_type_factorsfact_18,mean_cell_type_factorsfact_19,mean_cell_type_factorsfact_20,mean_cell_type_factorsfact_21,mean_cell_type_factorsfact_22,mean_cell_type_factorsfact_23,mean_cell_type_factorsfact_24,mean_cell_type_factorsfact_25,mean_cell_type_factorsfact_26,mean_cell_type_factorsfact_27,mean_cell_type_factorsfact_28,mean_cell_type_factorsfact_29
ENS Prog/cycling,0.21601274625149808,0.0,0.022969519432905823,0.0,0.0,0.009802844710681654,0.0,0.0,0.011531793186832829,0.0,0.0,0.08762016299544374,0.0,0.011359799513981769,0.08284224705468028,0.0,0.0,0.0,0.001058078780432572,0.0,0.0,0.0,0.0,0.02013568835333471,0.006165822773271541,0.059881516339158156,0.4706197806077788,0.0,0.0,0.0
Enterocyte,0.0,0.057778244641173884,0.0,0.0,0.0,0.0,0.0,0.0989678345577429,0.0,0.786849076636538,0.0,0.0,0.011078338295832029,0.0,0.0,0.0,4.242722493054352e-05,0.0,0.0,0.0,0.0006570611250222666,0.0,0.044627017518760255,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Epithelial progenitors,0.0,0.04289801910376315,0.0,0.0,0.0,0.0012603318541183346,0.30898803650053236,0.0,0.0,0.0,0.11556842745659557,0.014782738728495368,0.0,0.011569003457312,0.0,0.02628152157367628,0.0,0.3084100342355068,0.0,0.06702810789736291,0.0,0.06279314575692228,0.04035252259708871,0.0,0.0,0.0,0.0,0.0,0.0,6.811083862604245e-05
Glia 1 (DHH+),0.0,0.0012005346330430334,0.014398806972508331,0.00020389052160913162,0.0,0.006921397103636046,0.0006972651165476719,0.0008380745999346505,0.0,0.0,0.0004084412442749502,0.00013902098195477298,0.000568962316268106,0.0,0.0,0.0,0.0,0.0013406789551677915,0.00014145720915205876,0.0,0.0018651481933899903,0.0011667005857943584,0.0,0.9656293093740842,0.0,0.0,0.0,0.004480312192634918,0.0,0.0
Glia 2 (ELN+),0.0,0.05955636256383066,0.007076058820422065,0.00363090994606146,0.0628450068227103,0.004888053472084345,0.030169509715544916,0.0,0.0,0.0,0.02589623401471542,0.001912972305649701,0.28504830232204076,0.0,0.0016322731041778027,0.1454143730054575,0.0,0.25203341598767187,0.0030271989191706437,0.0,0.0015169035892728978,0.09660594322860779,0.0,0.01389961971641808,0.0,0.0,0.0,0.0,0.0,0.004846862466163837
Glia 3 (BCAN+),0.0,0.0,0.05407391614145669,0.04107482609305623,0.0,0.024657257989074716,0.119591993149061,0.0,0.010049786663327155,0.0,0.05399736277866752,0.0,0.0,0.05423903711984104,0.06088565114721852,0.013750594364800082,0.0,0.2014254738833205,0.0,0.0,0.006013888106728749,0.058105802082070446,0.0,0.07121632412609893,0.18581612381527116,0.0,0.0,0.0,0.0,0.04510196254000716
Goblet cell,0.0,0.0,0.0,0.0,0.022316682292776585,0.0,0.008788053433813526,0.04512081422627464,0.0,0.0,0.0,0.0,0.024304631787962345,0.0,0.0,0.0,0.0,0.012011200733717333,0.0,0.5990923052742204,0.013474996872335096,0.013695731365886412,0.11686319962902028,0.0,0.0,0.07397777197340559,0.006508721899436749,0.0,0.06384589051115099,0.0
ICC,0.0,0.0,0.0,0.39890705831517775,0.003912347066240467,0.00020345887130614255,0.018882037452011745,0.0,0.0,0.0,0.018517352234286848,0.0,0.014784576337600996,0.0005405484751443639,0.12846127588728823,0.0,0.0,0.043832188052948536,0.0,0.0,0.19034471722099114,0.009731329683450751,0.010717979732925832,0.0,0.11763899215882216,0.0,0.04352613851180508,0.0,0.0,0.0
ILC2,0.0,0.051776010522951915,0.0,0.004900508660045066,0.0,0.0,0.14701080244901188,0.0,0.0,0.0,0.22597974035034168,0.013325415954342584,0.0,0.012370635846346583,0.0,0.08662945722390193,0.0,0.25306250538287767,0.0,0.0342634933891882,5.4402245838907855e-06,0.10908030978371587,0.005086811405807644,0.0006941886138688491,0.0,0.0,0.0,0.0031700318951786667,0.0,0.052644648297837486
ILCP,0.0,0.0,0.0,0.002854368248942161,0.0,0.0,0.09643048371059171,0.0,0.0,0.0,0.2409201899410592,0.007372616543026968,0.09141603723285421,0.005404763270165207,0.00012368163322991886,0.0,0.00021465131589829076,0.14701371186668546,0.0,0.048739838077962026,0.0,0.03139388838214452,0.20665234950817968,0.0,0.00028310780770537307,0.0,0.0,0.0,0.08090825449578465,0.04027205796577066
Immature B,0.0,0.0,0.012464254960298838,7.864348036581916e-05,0.008031251451803409,0.005783213318410805,0.0006907823418986809,0.00021880574978534728,0.0021794531330109105,0.0011737586202771257,0.9429845564905633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013853540004645074,0.0,0.0,0.0,0.0,0.007042000614780179,0.0,0.0,0.0,0.0,0.0,0.005499739834160607
LEC1 (ACKR4+),0.0,0.06542888849896684,0.02346897489871361,0.008565433578394356,0.0,0.00927082977425772,0.15634226339794494,0.0,0.002285755833273547,0.0,0.11680158342099702,0.009757661532646221,0.0,0.034502190230031635,0.0,0.02102447805309069,0.0011290649385031365,0.2894771046690083,0.022249309998170142,0.026898666528918133,0.01489062143214171,0.12457773486584649,0.0,0.017632923742543383,0.0,0.0,0.0,0.0,0.0,0.055696514606552054
LEC2 (MADCAM1+),0.0,0.0003621360364306345,0.0,0.0,0.0,0.0,0.0,0.0,0.031029018528334958,0.0,0.1515399500399815,0.006504006822305883,0.016485767482109094,0.0,0.0,0.01691397878528429,0.0,0.070313748434732,0.10191156538644744,0.0,0.0,0.022464940062630882,0.03175899443431446,0.0,0.0,0.0,0.0,0.0,0.0,0.5507158939874289
LEC4 (STAB2+),0.0,0.0008948166322424166,0.009029689782998453,0.0,0.0,0.004569220064672129,0.0005673967188736168,0.0,0.0009068906607537825,0.0,0.0,8.683503389174318e-05,0.0,0.0,0.0,0.0,0.0,0.0017667670427506071,0.9749373667563973,0.0,0.00011454604482917792,0.0013122773451626634,0.0,0.002487231955537743,0.0,0.0,0.0,0.0033269619618903883,0.0,0.0
LEC5 (CLDN11+),0.0,0.0,0.0,0.0046123817021564055,0.02620555162780771,0.00011535879317926043,0.0,0.0,0.0,0.0,0.0,0.016080250939594296,0.007322580563710283,0.0,0.0024437893728198505,0.18059607370525482,0.0,0.18484358381382113,0.3110029985842556,0.0,0.0,0.032915991918063055,0.2170946959587422,0.0,0.0,0.0,0.0,0.0,0.016766743020595328,0.0
LTi-like ILC3,0.0,0.0,0.0,0.003497619712152917,0.0,0.0,0.07323857887551123,0.0,0.0,0.0,0.3911331946751621,0.006108158592883234,0.08427909056327973,0.001441201500527332,0.0,0.04624686739267034,0.00015883825252759328,0.14038113285419013,0.0,0.018339010932822777,0.0009157055520922813,0.03115003442069204,0.08912195868282125,0.0,0.0002846957545445651,0.0,0.0,0.0,0.0821805150899887,0.0315233971481339
LTi-like NK/T,0.00010785158714185652,0.1566964788498771,0.0,1.2830308444211225e-06,0.0,1.5196222968055648e-05,0.0,0.07622426572948057,0.0,0.06610634083679481,0.0,0.0,0.08045538078364327,0.0,6.104875484121062e-05,0.0,1.690674587567382e-06,0.0,0.0,0.0,0.0,0.0,0.27416114620783166,1.7544074139448023e-05,0.00016580512575398618,0.0,0.00024376727141814925,0.0,0.3457422008506778,0.0
LYVE1+ Macrophages,0.0,0.0,0.0,0.0,0.01815406321999281,0.22436943117832375,0.0416196599853857,0.0,0.0384114088756384,0.0,0.0,0.0712220745939154,0.03994997502495771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058720757931992516,0.010098335873876136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4974542933159175
Lymphoid DC,0.0,0.19629406276971234,0.0,0.0,0.0,0.0,0.05560250442065838,0.0,0.0,0.0,0.25852575163366104,0.0,0.0,0.0,0.0,0.04131046069310543,0.002518326367523729,0.20704514670938676,0.0,0.0,0.008424168665425526,0.070109304796622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16017027394390493
Macrophages,2.9356035347576067e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009222828286928796,0.0,6.3462578577339e-05,0.905509909609698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07269618928050155,0.0,0.0,0.0,0.0,0.0006765685280737745,0.0,0.01180168568087307
Mast cell,0.0,0.0,0.023683691465732078,0.009845817369968101,0.0,0.007052270824685981,0.10150946440359064,0.0,0.013918498688198964,0.0,0.15347518491707424,0.03984651557887498,0.018128230829365308,0.04682397835288907,0.0,0.0,0.0027286290939479824,0.17685381312693163,0.0,0.033523965914316806,0.007040675808296097,0.06533160828943443,0.005949360619883573,0.010810700921398792,0.0,0.12078377912702352,0.0,0.003974035753259385,0.0,0.1587197789151283
Megakaryocyte,0.0,0.5029854799055168,0.0,0.0012917353021132476,0.024141970951452187,0.0007195711295707172,0.0,0.25484399931723967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15326153222449687,0.0,0.0,0.005691750732478481,0.0,0.0014185328290895083,0.03045023030442211,0.0,3.3876681715964616e-05,0.0,0.0,0.0,0.02516132062190446,0.0,0.0
Mesoderm 1 (HAND1+),0.007413718355959797,0.0,0.004120944933544164,0.013259991870788385,0.0,0.0018393068467913176,0.03314852746579861,0.0,1.53724227012162e-05,0.013930621290203202,0.029741734518266436,0.0152285343212228,0.17116141383819852,0.006420750868333116,0.005598227216762188,0.0,0.0020089993445038166,0.0585998493279478,0.0,0.0,0.013891059258819258,0.002464728192719373,0.5257709309863418,0.0020974561273779772,0.005999106943279316,0.0,0.002851101093040367,0.000420620752557987,0.07746562793160731,0.006551376093235404
Mesoderm 2 (ZEB2+),0.014728080021767292,0.0,0.0010603870355368763,0.0072500639109463316,0.0,0.0009502446959997861,0.001863137934131508,0.0,0.0015461562408306798,0.0,0.00020371311624376083,0.9362256025502589,0.0011938199528651588,0.0008241310598650729,0.006976051346585918,0.0016087674778156506,0.0,0.0020423463882744083,0.0,0.0006473814077877472,0.007759446826405517,0.0007094574267929718,0.004840410334146522,0.0,0.007847789359662878,0.0017230129140830917,0.0,0.0,0.0,0.0
Mesothelium,0.0,0.07259613283391213,0.0,0.017774185912457212,0.08044313980032587,0.036551880241310404,0.1283534709879903,0.0,0.0,0.0,0.0,0.0,0.0,0.014279611990696146,0.0,0.16819008607639283,0.0,0.1936027480473361,0.0028822326285789838,0.0,0.2853265114809999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Microfold cell,0.0,0.0948295236314725,0.0,9.842563496262106e-05,0.0,0.0,0.0019352110096742647,0.15178497032007593,0.0,0.021207875705987925,0.0,0.0,0.0,0.0,0.0,0.6832734514906479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04687054220717885,0.0
Monocytes,0.0,0.0008704677628857007,0.0,0.0,0.010181175752533547,0.004869033972699476,0.10480662969222361,0.0,0.04974581330989962,0.0,0.03905210085219921,0.028295300773071404,0.0,0.0067745488004503146,0.0,0.0,0.0013896954962319547,0.08210633766362055,0.0,0.0,0.004702991048726608,0.1588997295097685,0.0,0.00882359080092139,0.0,0.0,0.0,0.05470495652135689,0.0,0.4447776280434111
NK T cell,0.0,0.008480403635125228,0.0,0.002278022620936263,0.0,0.0,0.10579069948817593,0.0,0.0,0.0,0.3526213239756862,0.008017559238639577,0.03135065599634624,0.0,0.0,0.008198370451701041,0.00045573114518951635,0.2249091538021625,0.0,0.07768507259914441,0.0,0.03956235945820861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14065064758868445
NK cell,0.0,0.008718183731604377,0.0,0.0036273438453167926,0.0,0.0,0.10182060850565086,0.0,0.0,0.0,0.21096069242290072,0.008561420168221267,0.1212738339161413,0.004809233764129733,0.0,0.04937800728729078,0.0005350078675648556,0.26264642069470456,0.0,0.0448428641732386,0.0033111267799350672,0.05165078623710585,0.05248512008637431,0.0,0.0,0.0,0.0,0.0,0.0,0.07537935051982092
Neuroblast,0.0,0.0,0.2801245150333602,0.0,0.0,0.1471736332915312,0.0,0.0,0.22765491778870833,0.0,0.0,0.0,0.0,0.049946053120558706,0.0,0.0,0.0,0.0,0.06873118158754717,0.0,0.0,0.0,0.007237676681854117,0.1609331834877622,0.0,0.0,0.0,0.0,0.0,0.058198839008678165
Paneth,0.0,0.06008310970515597,0.0,0.0,0.0,0.0,0.5445251869114978,0.0,0.0,0.0,0.006570275648735701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33302000590067377,0.0,0.0031113148680665175,0.03562378870734161,0.0,0.0,0.017066318258528664,0.0,0.0,0.0,0.0
Pericyte,0.0,0.1405094982244747,0.0,0.0,0.3209730392400065,0.0,0.0,0.0,0.0,0.0,0.0,0.04522225156338932,0.0,0.0,0.0,0.0,0.0,0.33023465311943856,0.0,0.0,0.0,0.008104341148470574,0.0,0.0,0.0,0.1549562167042205,0.0,0.0,0.0,0.0
Pre-B,4.584901327675072e-05,0.0,0.00044594230928818936,0.0,0.0,0.0,0.01705183937486188,0.0,0.0,0.026972031287049246,0.06017849573957449,0.002405042979135906,0.22732860009930034,0.0035358481248391775,0.0,0.0,0.0,0.011014129669452612,0.0,0.0,0.0,0.0,0.4925840735555183,0.0007884742986023774,0.0,0.0,0.001700816563522604,0.002001372139461866,0.1316489418219861,0.02229854302413017
Pro-B,0.0,0.0,0.0,0.0,0.014994173078814857,0.0,0.0033230251035880416,0.0,0.0,6.907594933004921e-05,0.10190492915859241,0.1890569581640843,0.032476739998298254,0.0,0.0,0.0,0.0012977506673690444,0.041706585165649616,0.0,0.05725600314225667,0.0,0.0,0.0,0.0,0.0,0.14425100410781028,0.053254513936829215,0.2110271853612798,0.0,0.1493820561660974
RBC,0.0,0.0,0.024597054596899558,0.0,0.0,0.008602301749784644,0.0,0.00011703406896024393,0.00038019580076815497,1.3025073538102355e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025309073585466526,0.0,0.0,0.0007389169880115522,0.0,0.009484680981517881,0.0,0.0,0.0,0.9535358833819733,0.0,0.0
SELL+ CD4 T,0.012617065916590713,0.0,0.0,0.010009020879734733,0.0,0.0,0.1306586546698391,0.0,0.019751100193345427,0.0,0.17161332485724617,0.01841412081478697,0.0,0.005908949745681854,0.001447513583314242,0.0,0.0018459752445044255,0.32596479389194377,0.0,0.029729709966111486,0.0,0.017174331523327455,0.0,0.0,0.003463319878844996,0.15286566150865644,0.0,0.0,0.0,0.09853645732607215
SELL+ CD8 T,0.12093704704707846,0.0,0.10504930577273806,0.007789564609027271,0.017226354855308056,0.028570829625310913,0.0252907411284808,0.0,0.3115635675795997,0.0,0.04073246846656562,0.02718617007407714,0.0,0.006038088594913787,0.0,0.0,0.0,0.02533144800382274,0.08432993703518286,0.0,0.0,0.0,0.0,0.02388287488919969,0.0,0.05403778298804127,0.0,0.007111880630914726,0.0,0.11492193869973884
SMC (PART1/CAPN3+),0.0538215495731552,0.0,0.000524105429872976,0.0065025494954332585,0.0,0.0003979798573946822,0.0016241093270277442,0.00015700415722100784,0.0,0.0002611137561535814,0.0006351883448074855,0.0,0.0003362963560180691,0.0014117083593836724,0.025524417610109942,0.0,0.026919905457387695,0.0,0.0,0.0,0.8807172660249816,0.0008173013666272883,0.00019416873209460026,5.658589535803385e-05,0.0,0.0,0.0,0.0,9.875025697325206e-05,0.0
SMC (PLPP2+),0.6912615946471308,0.0015341065919742838,0.00017842306317151333,0.16415769217037562,0.0,3.73243609512254e-05,0.0019872578779725385,0.0018322047322190226,0.0,6.14193778386057e-05,0.00018101204497146823,0.0,0.0,0.0,0.0006900326836301242,0.0018137697390887707,0.12769728619113666,0.0,0.0,0.0,0.0,0.0,0.006525306903604686,0.0,0.0,0.0,0.0,0.0003588144892425767,0.0014210494045820193,0.00026270572210997426
Stem cells,0.0,0.0,0.0,0.0006571334213963527,0.0021600154089271846,3.2312569223525904e-05,0.9849715852086589,0.00028880427498190854,0.0,0.000726969878747385,0.0,0.0,0.0012422002481723164,0.0,0.0,0.0,0.0,0.0,0.0007836257920638372,0.007478908733730156,0.001658444464098438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stromal 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00076926125284851,0.0,0.005321473202938798,0.0097014031224952,0.0,0.1804329547342872,0.0,0.0,0.0,2.9144477520486095e-06,0.5681078838495325,0.0,0.04886457996015532,0.0,0.0005553771626431968,0.013423239522934888,0.0,0.0,0.17282091274441247,0.0,0.0,0.0,0.0
Stromal 2,0.0,0.09669849601433675,0.0,9.299189433553725e-05,0.0,0.0,0.0075447725257607075,0.04015904401968848,0.0,0.013511292094554098,0.0015604657487252435,0.0,0.21300419144516572,0.0001636931824821451,0.0,0.04742503656295162,9.62174874973156e-05,0.07159041744501014,0.0,0.019254356762277453,0.0006195726831235399,0.4557697268462755,0.032509725287815865,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stromal 3,0.00413218466384442,0.0,0.29046836428047723,0.001459078431221315,0.0,0.5263366018591398,0.0005314537005307765,5.536323808026033e-06,0.0,2.594264483683752e-06,0.0,0.00026829206549376666,0.0,0.0,0.0001890955024178272,0.0,0.0,0.0,0.010002916068053307,0.00015633973316841107,0.04037652106412926,0.0,0.0,0.12387869950067122,0.0018509077350724683,0.00014918863882795326,0.0,0.0,0.00019222616866041553,0.0
TA,0.0,0.0,0.0,0.00032507503812997777,0.0011147628673817682,0.0,0.03775420653685404,0.0,0.0,0.0,0.00047154670488484433,0.0,0.0,0.0,0.0,0.0031264663917429008,3.357500283990098e-05,0.002378060132838833,0.0,0.9351038812917576,0.0,0.0,0.0,0.0,0.0,0.019692426033570225,0.0,0.0,0.0,0.0
TRDV2/TRGV9 gdT,0.0,0.37393929381623714,0.0,0.0015725047900084158,0.0,0.0,0.09291058662256016,0.04527458809255419,0.0,0.0,0.15320641417345587,0.003226898622053437,0.02913426841623808,0.0021687861258322468,0.0,0.09185917125706324,7.709539985719235e-05,0.13725238992649796,0.0,0.025537185775092716,0.0,0.021910731970144877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021930085012404562
Treg,0.0,0.630684238054993,0.0,0.0008117947416069912,0.0,0.0,0.047531529784016764,0.19992111071792734,0.0,0.004276497245755626,0.05972127197752071,0.0007206548930219134,0.005167871084209628,0.0002583280352483967,0.0,0.0018577978804762538,0.00023276417535808818,0.03423406804820099,0.0,0.009652455200985675,0.0,0.0008134385513078141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004116179609370958
Tuft,0.0,0.024940178415723106,0.0,0.0,0.0,0.0,0.0184429664400324,0.0034417085906114538,0.0,0.0,0.034837520154076054,0.00041031406877390216,0.06200584270118978,0.0,0.0,0.16800393827439314,6.748781869417379e-05,0.021403597360516825,0.0,0.015270444331817562,0.0019109664465384766,0.019436554525083614,0.6298284808725496,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Venous ECs,0.0,0.0022859322226782405,0.6394211222672169,0.0,0.0,0.0,0.0024868252439238375,0.0,0.0,0.0,0.0023793027847696514,0.03300174362809451,0.0,0.0,0.0,0.0,0.0,0.06798758415865751,0.0,0.0,0.0027625235719947318,0.0,0.00809906349369175,0.0,0.0,0.02435452670892924,0.0,0.2172213759200437,0.0,0.0
angiogenic pericyte,0.0,0.0,0.7032511157956547,0.0,0.01995839234352089,0.06986469211306436,0.0,0.0,0.007099367840514811,0.0001897381551313718,0.0,0.0,0.0,0.045781324576651745,0.0,0.0,0.0,0.0,0.0833213572698802,0.0,0.000849663954705535,0.0,0.0,0.0696843479508765,0.0,0.0,0.0,0.0,0.0,0.0
cDC1,0.0,0.0003778572793327832,0.0,0.0011958121584781998,0.0,0.0,0.08034712315323791,0.0,0.0,0.0,0.2634514583694252,0.013979603244038305,0.059401605064714855,0.019407316851740294,0.0,0.0,0.0009694500943129722,0.3301177222427781,0.0,0.08404476733971378,0.005375571424872517,0.05866250807022767,0.0,0.0,0.0,0.0,0.0,0.0018589397458712265,0.0,0.08081026496125616
cDC2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2278291000996961,0.0,0.012789431347730607,0.0,0.0,0.0,0.00015193079175417168,0.3642221150211356,0.0,0.03242047993920442,0.011946740419599677,0.0,0.0,0.0,0.0,0.186761267136052,0.0,0.0,0.0,0.16387893524482736
capillary,0.0,0.18353512864755936,0.0,0.00036745523475901804,0.08052202827123267,0.0,0.0,0.0,0.0019041925824633938,0.0,0.0,0.00010310332126270838,0.0,0.0,0.0,0.0,0.0,0.6034663941778087,0.0,0.0,0.014840655861572573,0.05993670861150112,0.0,0.0,0.0,0.03325130800261706,0.0,0.010701416370953053,0.0,0.01137160891827035
mLTo,0.0,0.0,0.02526580375446928,0.0,0.006417669371274727,0.007330847597145266,0.0,0.0,0.0,0.0017583500504656877,0.0317365022016038,0.0,0.0,0.005974216137910443,0.00017061535960472782,0.0,0.0,0.0,0.03811131354634596,0.0,0.0,0.0,0.0017514771381837975,0.01414972165458593,0.0,0.0,0.0,0.0,0.0,0.8673334831884104
myofibroblast (RSPO2+),0.0,0.0,0.0005646020569415709,0.00044562628905505904,0.002341136561877195,0.00017323398052265806,0.0021205295908751677,0.0,0.0,0.0,0.0,0.0217700707351184,0.0,0.0,0.0,0.0,2.7773791730919303e-05,0.0,6.113043557258505e-05,0.0,0.0010049083698818403,0.0003504419053065092,0.012651046663650058,0.00012330911506809594,0.0,0.9583661905044,0.0,0.0,0.0,0.0
pDC,0.0,0.2632689275867289,0.0,0.004468531274798651,0.0,0.0,0.08791401411045063,0.04569224678448709,0.0,0.0,0.14687772694085752,0.011199966735360226,0.0,0.005557219560223227,0.0,0.15540595622977965,0.00023156804418133053,0.13692755058722636,0.0,0.04493029372702815,0.00735432144982486,0.06324728060352845,0.0,8.955753101260618e-05,0.0,0.0,0.0,0.0,0.0,0.026834838834512466
