,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11,mean_cell_type_factorsfact_12,mean_cell_type_factorsfact_13,mean_cell_type_factorsfact_14,mean_cell_type_factorsfact_15,mean_cell_type_factorsfact_16,mean_cell_type_factorsfact_17,mean_cell_type_factorsfact_18,mean_cell_type_factorsfact_19,mean_cell_type_factorsfact_20,mean_cell_type_factorsfact_21,mean_cell_type_factorsfact_22,mean_cell_type_factorsfact_23,mean_cell_type_factorsfact_24,mean_cell_type_factorsfact_25,mean_cell_type_factorsfact_26,mean_cell_type_factorsfact_27,mean_cell_type_factorsfact_28,mean_cell_type_factorsfact_29,mean_cell_type_factorsfact_30
ENS Prog/cycling,0.06060197756723138,0.0,0.2154776929274155,0.050157075246464254,0.0,0.0,0.0,0.047983137123846255,0.0,0.0,0.0481126495368498,0.01206018091024814,0.006820223135545417,0.0,0.1466978726115531,0.016315506256650878,0.3364506956682943,0.04750504267665222,0.0,0.005674911081783854,0.0,0.0013459120766552769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004797123180809594,0.0
Enterocyte,0.0,0.3672220809287607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15235374029659046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47792559818695296,0.0,0.0024985805876958965,0.0
Epithelial progenitors,0.004414985836484368,0.0,0.0,0.0,0.0,0.06385631840027567,0.03499061110861492,0.0,0.0,0.0,0.0,0.0042966530937904755,0.0,0.3700591451201206,0.0,0.0,0.0,0.10226398110140916,0.014129070467274712,0.0,0.06446076623543384,0.0,0.0,0.0,0.2319357638173148,0.10959270481928146,0.0,0.0,0.0,0.0,0.0
Glia 1 (DHH+),0.019700615089996456,0.0,0.0,0.0,0.0,0.0012366519223240644,0.0,0.0,0.00048775611215738635,0.0,0.0,0.0031424391490654504,0.0007097917796927631,0.00047963797811484426,0.0,0.9522254231304664,0.0,0.00012812290636653363,9.650932064067835e-08,0.010828025271482127,0.0,0.0,0.002673936466628795,0.0062951413465360305,0.0,0.00021481059694352956,0.0,0.0,0.0,0.0014266487969662172,0.00045090294393872004
Glia 2 (ELN+),0.013784210646676648,0.0,0.0,0.00762436059469187,0.0,0.12788816425216257,0.0,0.0,0.014986543523936177,0.0719492833776093,0.0,0.0,0.0,0.07818880963150744,0.0,0.01719436217367788,0.0,0.04965648334008363,0.011305497681223823,0.007433543145294214,0.0,0.0,0.0,0.003371597359302494,0.27692217743453423,0.06400710876122062,0.0,0.0,0.013689463756586062,0.0008790060779921656,0.2411193882435008
Glia 3 (BCAN+),0.10333066652915239,0.0,0.0,0.11007778817906617,0.0,0.04446107976395825,0.046552233375700705,0.0,0.0,0.0,0.0,0.032099426759622116,0.0,0.1714294908657576,0.0,0.05701665777406252,0.0,0.0,0.0012617341332194548,0.0021246079878060996,0.0,0.0,0.0,0.005703691776253979,0.1795881952910117,0.05451562461672281,0.13137851029097977,0.0,0.048245288546829246,0.0,0.012215004109857064
Goblet cell,0.0,0.0,0.009550470822121819,0.0,0.0,0.00663757643283814,0.0,0.0,0.03476598829215835,0.023120385930676005,0.08070973479771518,0.0,0.0,0.009127665638468611,0.0,0.0,0.0,0.0,0.0628492130108062,0.0,0.6806823558348111,0.0,0.0,0.0,0.029145690861452626,0.0,0.0,0.0,0.0,0.02013251878669181,0.04327839959226032
ICC,0.003259352418501062,0.0,0.0051995659136912925,0.7250053092328356,0.0027029016310023204,0.005328993101053025,0.017074749024284835,5.6446270286773e-05,0.0,0.003609031971628692,0.0,0.002095766436997091,0.0,0.029680491887142918,0.0,0.0,0.0,0.020870728906673023,0.0045372810059606285,0.00011622785054578031,0.003928441625579579,0.0,0.0006636115116392059,0.0,0.03432818510886866,0.01679651757601244,0.0,0.0,0.0,0.1139810212479865,0.010765377279310701
ILC2,0.0,0.0,0.0,0.004885796971701782,0.0013743516822693606,0.11836292707436655,0.16970776462931378,0.0,0.0,0.0001972556624236362,0.0,0.005794482146090077,0.0,0.19779388321680794,0.0,0.0012222356513750389,0.0,0.06378288021947016,0.006335293476926158,0.0,0.035452701625311625,0.0,0.006713320483146534,0.0,0.1297129678535096,0.21108933109808206,0.0,0.0,0.03687205103247282,0.0,0.0107027571767329
ILCP,0.0,0.0,0.0,0.003961636268358365,0.0010591239921689884,0.042696151484768935,0.2001525356514105,0.0,0.0,0.0,0.0,0.0032448789296871472,0.0,0.1468253697404788,0.0,0.0,0.0,0.04341026722938041,0.10881660808712758,0.0,0.047535347633351176,0.0,0.0,0.0,0.048589028051184015,0.2607072608246914,0.0,0.0,0.026589554575935072,0.0,0.06641223753145757
Immature B,0.013050668128211648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015257428174781402,0.000720099602209606,0.0026525426379202443,0.001289536143396368,0.0,0.002736302492177328,0.0,0.0,0.0,0.0031634836775180325,0.0,0.0032578466802843102,0.0,0.004164164431302283,0.0,0.9310840896835653,0.0,0.0,0.032154729291910496,0.0009151513910924512,0.0032856430229338297
LEC1 (ACKR4+),0.022892481631454284,0.0,0.0,0.009181065007991103,0.0007452896344796504,0.1343430701549413,0.11913950014899148,0.0007807284339487351,0.0,0.0,0.0,0.01755546706874243,0.0055732120262702595,0.20989190574203195,0.0,0.011870523005384786,0.0,0.04297859940373666,0.0,0.005662909476410936,0.026246834781391264,0.013169601848435556,0.0014922976874380098,0.01510110445411501,0.1978926044137473,0.10307017460878728,0.0,0.0,0.04667035805954688,0.015742272412154933,0.0
LEC2 (MADCAM1+),0.0,0.0,0.0,0.0,0.0,0.011229231389778042,0.0,0.0,0.0,0.0,0.0,0.0,0.019175261033804094,0.0,0.0,0.0,0.0,0.08200761003903452,0.00720625424717283,0.0,0.0,0.058678356845958554,0.0,0.0,0.07508007119994241,0.14907054595465732,0.0,0.0,0.5772264638069521,0.0,0.020326205482700144
LEC4 (STAB2+),0.009239276863542253,0.0,0.0,0.0,0.0,0.001693817298851197,0.0,0.0,0.0,0.0,0.0,0.0,0.0011072902964109088,0.0005766419026947489,0.0,0.00038505581778770895,0.0,0.00039106716107583625,0.0,0.008798567593353093,0.0,0.9644748024170566,9.77854531391952e-05,0.010890410787587039,0.0020254421946771343,0.0,0.0,0.0,0.0,6.752536296500652e-05,0.00025231685085938456
LEC5 (CLDN11+),0.0,0.014255153831934774,0.0,0.008392832273555147,0.0,0.04898683258748722,0.0,0.0,0.0,0.004339176010492783,0.0,0.002444607698753685,0.0,0.0,0.0,0.0,0.0,0.2420677809517889,0.10975476032946944,0.0,0.0,0.33244761875057655,0.0,0.0,0.20832665194404973,0.0,0.0,0.0,0.0,0.0,0.02898458562189176
LTi-like ILC3,0.0,0.0,0.0,0.0038265690847782046,0.0,0.04765129702291862,0.2879646323422971,0.0,0.0,0.0,0.0,0.0007234914269838575,0.0,0.10347192803863006,0.0,0.0,0.0,0.044821167931953995,0.06025423449353613,0.0,0.008986106711977648,0.0,0.0,0.0,0.0,0.39788612243698007,0.0,0.0,0.0,0.0,0.044414450509944255
LTi-like NK/T,0.0,0.5233834691754513,0.0,0.00037407490717807513,0.000849086877496099,0.04202537611731119,0.025715378552006833,5.9347167835808915e-06,0.04790713301364371,0.0055780262183169425,0.0,0.0,0.0,0.0,0.00014690385635608623,0.0,0.0,0.0,0.2867612049920627,0.0,0.0,0.0,0.0,0.0,0.0,0.04899251133780207,0.00029161244614060136,0.0,0.0008259675702647355,0.0,0.017143320219186534
LYVE1+ Macrophages,0.0,0.0,0.0,0.0,0.006460144199006954,0.0,0.0,0.0,0.0006167964665256427,0.0,0.0,0.0,0.05664018767375764,0.0065654098099737586,0.0,0.0,0.0,0.1872473289578325,0.0,0.3380264216888156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3794316024629532,0.00608224211409551,0.018929866627039098
Lymphoid DC,0.0,0.0,0.0,0.0,0.0,0.12482572892887708,0.3895594105829591,0.0013281672961452022,0.01770322474695443,0.016107155026778168,0.0,0.0,0.0,0.06935818389602912,0.0,0.0,0.0,0.00988389445035766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2195308931869803,0.0,0.0,0.1429336945516919,0.008769647333227075,0.0
Macrophages,0.0,0.0,0.0,0.0,0.00020589511471910584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0972564649657066,0.0,0.0,0.0,0.0010170234058598203,0.0,0.0,0.0,0.0,0.0,0.04018951023168857,0.0,0.8613311062820259
Mast cell,0.00045789006253299996,0.0,0.0,0.0049341467901012044,0.0181679428083495,0.04117198509363386,0.015665685601145753,0.0009164309842955767,0.0,0.0,0.1012201704487764,0.020879751647362003,0.012636840813806387,0.12423283969111573,0.0,0.007316855048435133,0.008927929755598632,0.06822775212062773,0.00030501100389895846,0.008881190545643031,0.03225286711433477,0.0,0.0,0.026262130896706457,0.15111571818869765,0.14317287813186325,0.0,0.0,0.17692351877596865,0.0059685488266371396,0.030361915650469053
Megakaryocyte,0.0,0.0,0.0,0.0025752434154790744,0.0,0.2526082356533983,0.0,0.0,0.5693331543438368,0.0829475652961407,0.0,0.0,0.0,0.0,0.0,0.0004345045480498197,0.0,0.017945624075767958,0.0,0.0035215051966481043,0.0,0.014056658824960256,0.04993803977618329,0.0,0.0,0.0,0.0,0.0,0.0,0.0066394688695356726,0.0
Mesoderm 1 (HAND1+),0.010114259241686564,0.0,0.0,0.03847245096850486,0.02837412050040037,0.01530297379387818,0.025985602600826736,0.011455129372782608,0.0,0.0,0.0,0.007448464665835645,0.00243045817569878,0.08697016380348267,0.00414719439242777,0.0016834032558891994,0.0,0.007014401010568692,0.4156412134415097,0.0007000056090880486,0.0,0.0,0.0,0.0030519623631610855,0.06500435061477676,0.03689900717323603,0.005906213460272219,0.002905819507074879,0.015614902450260159,0.026575363277418232,0.18830254032122073
Mesoderm 2 (ZEB2+),0.0,0.0,0.11457617282623862,0.004900048728281969,0.45209915784558286,0.0,0.0,0.004194297989041571,0.0,0.0,0.0006575430927350348,0.0,0.0,0.0,0.007593573266665061,0.0,0.0,0.41414713893279054,0.0010543268358332103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021327001160836073,0.00018430356235673876,0.0,0.0,0.00038016690886589685
Mesothelium,0.0,0.0,0.0,0.014512233917604622,0.0,0.01252145463281931,0.0,0.0,0.016501462398922834,0.04073255868614821,0.0,0.011332416181811253,0.0,0.1806658850384054,0.0,0.0,0.0,0.11629846206914303,0.0,0.08953540785290699,0.0,0.0012291418445766237,0.0,0.001019892534817092,0.20908388861767546,0.0,0.0,0.0,0.0,0.30656719622516915,0.0
Microfold cell,0.0,0.0,0.0,0.001280801071680439,0.0,0.0,0.011124338374775458,0.0,0.438739008835931,0.0,0.0,0.0,0.0,0.12148748938386168,0.0,0.0,0.0,0.03369644536972514,0.14949497738011847,0.0,0.11866907523149352,0.0,0.0,0.0,0.0,0.1243979644303419,0.0,0.0,0.0,0.0011098999220724754,0.0
Monocytes,0.0,0.0,0.0,0.0,0.0,0.10248659365085058,0.01943271080093822,0.0,0.0,0.0,0.0,0.00045148690463746094,0.037278364008280974,0.10111876420252934,0.0,0.0009091023116789372,0.0,0.14734578826802083,0.0,0.0,0.0,0.0,0.03386789461534717,0.00037109299812344653,0.10064737055206913,0.02592151885291689,0.0,0.0,0.43016931283460697,0.0,0.0
NK T cell,0.0,0.0,0.0,0.0009780332124024818,0.0,0.037542921740583074,0.2669650949144665,0.0,0.0,0.0,0.0,0.0,0.0,0.12228914717667055,0.0,0.0,0.0,0.055621704682207375,0.0,0.0,0.056930328750665886,0.0,0.0,0.0,0.052340055627808205,0.2772592395936241,0.0,0.0,0.10881686896234752,0.0,0.02125660533922428
NK cell,0.0,0.0,0.0,0.0026736846795931803,0.0,0.05469727122720889,0.24257288225720686,0.0,0.0,0.0,0.0,0.0018152227065103973,0.0,0.13773227377424416,0.0,0.0,0.0,0.08254555919243259,0.02338832181034024,0.0,0.04012892076561952,0.0,0.0,0.0,0.110281332610957,0.17862724167630892,0.0,0.0,0.05185155286339256,0.0014853340557306979,0.07220040238045482
Neuroblast,0.5504708785565255,0.0,0.0,0.013426437003518624,0.0,0.0026453817750785066,0.0,0.0,0.0,0.0,0.02957620806802832,0.039840109998825896,0.10566153361957273,0.0,0.0,0.05325086760819038,0.01045185461689269,0.0,0.0021080521499158246,0.05163040677623079,0.02482533287079087,0.0,0.0,0.0133581264905422,0.030108355423631213,0.0087441623859875,0.0,0.0,0.03932688510119359,0.021535922272548205,0.0030394852825273047
Paneth,0.0,0.0,0.0,0.0,0.0,0.022119486938547518,0.0,0.0,0.0013398269221648485,0.0,0.014149762438160452,0.0,0.0,0.6409589327593858,0.0,0.0,0.0,0.019803936095604824,0.00517889960255634,0.0,0.2790404785066725,0.0,0.0,0.0,0.0,0.017408676736907616,0.0,0.0,0.0,0.0,0.0
Pericyte,0.0,0.0,0.0,0.0,0.05381877637103489,0.03143764261170935,0.0,0.0,0.01729714811883783,0.3088292615258076,0.12433204803222009,0.0,0.0,0.0,0.0,0.0,0.003052101058806922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46123302228158325,0.0,0.0,0.0,0.0,0.0,0.0
Pre-B,0.0,0.05499859690420417,0.0,0.00045863764570368157,0.0071928477400474205,0.0,0.031000141972515362,0.0,0.0,0.0006055925128744543,0.0,0.004189153159902342,0.0008914356621836483,0.04681701329648909,0.0,0.0014687428051810055,0.00024183695013041046,0.0,0.43556658365761874,0.0,0.0,0.0,0.0013195816945070233,0.0004644454820308722,0.0,0.1181511158282635,0.0,0.0015208370445847354,0.05760368148882132,0.0,0.23750975615494216
Pro-B,0.0,0.0,0.0,0.0,0.19344587039366062,0.0011420361797374319,0.13934881550371642,0.0,0.0,0.0,0.11540428730988658,0.0,0.0,0.009987711451997306,0.0,0.0,0.062167795046773916,0.0,0.0021861437500652866,0.0,0.05414440712831486,0.0,0.12609334315646184,0.0,0.01489742237052696,0.09147437771446702,0.0,0.0,0.1777049289621458,0.0,0.012002861032245854
RBC,0.040686860488242986,8.14537324337813e-06,0.0007765199096047068,0.0,0.0,0.0011682973907992966,0.0,0.0,0.0,0.000551042540207196,0.002481647311830127,0.0,0.0,0.00012632146201816983,0.0,0.0021690544952312632,0.0,0.0006686468255160741,0.0,0.009738714341044922,0.0,0.0,0.941210876313627,0.0,4.315343742795798e-05,0.0,0.0,0.0,0.0,0.0,0.0003707201112070575
SELL+ CD4 T,0.0,0.0,0.0,0.013057171083998257,0.01523620835913244,0.017547246706950344,0.2833976661034281,0.005972170702241719,0.0,0.0,0.1174446726433877,0.0019099237391491121,0.01539278892137763,0.1620164269203311,0.0,0.0,0.0,0.007452574394514994,0.0,0.0,0.01889510111665217,0.0,0.0,0.0,0.17569226244138028,0.10423482446521033,0.0007615727275100973,0.0,0.06098938967473569,0.0,0.0
SELL+ CD8 T,0.1137387096040827,0.0,0.04193938960531339,0.02956698507462122,0.008537897381912567,2.490525384136489e-05,0.07961093396014578,0.034906454319152416,0.0,0.008972083471707904,0.11564134767931124,0.004473321919451702,0.17938857297420682,0.030340669517751474,0.01244789984840803,0.0,0.0,0.011338281045799,0.0,0.004751884105462718,0.00328002912528787,0.06045374505081316,0.00483237012223936,0.08139666188886667,0.02019548080774507,0.03631124990881812,0.00814092151469252,0.0,0.09282458885942597,0.01688561696094289,0.0
SMC (PART1/CAPN3+),0.0005461577410615624,0.00012088898810833143,0.0,0.04368580001642318,0.0,0.0007334682491494434,0.0007135740372010877,0.03564943148387443,2.3509412832880092e-05,0.0,0.0,0.000544146251347803,0.0,0.0016981847825108742,0.020350047180177345,0.0,0.0,0.0,0.00017225605651159155,0.00048475148594041747,0.0,0.0,0.0,2.6309954048220266e-05,0.0,0.0005446350737390235,0.0026004441219585114,0.0,0.0,0.8918041941363134,0.00030220102880182935
SMC (PLPP2+),0.0002934299556972861,0.002350934345701317,0.029151107124311165,0.2042269016823862,0.0015101672820331672,0.00021667651207405255,0.0,0.7470623733482283,0.0018506578118838665,0.0,0.0,0.0006506442924880392,0.0,0.003092691784218805,0.0,0.0,0.0,0.004744941496068846,0.00404958514294816,0.0,0.0,0.0,0.0,0.0007998892219608099,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stem cells,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.006642013788592e-05,0.0,8.540382894936593e-05,0.0012492081454661557,0.0,0.0,0.9901760475410735,0.0,0.0,0.0,0.0,0.0,4.877904039693592e-05,0.002421744282226521,0.0005882054950522828,0.0,7.101651838942401e-05,0.0,0.0,0.0,0.0,0.0,0.0017273306395349775,0.003582198088772938
Stromal 1,0.0,0.0,0.0,0.0,0.0,0.0,0.09335118943385244,0.0,0.0,0.0,0.1734567008112128,0.0,0.0,0.005865164829171152,0.0,0.0,0.0,0.0,0.007086305017482348,0.0,0.05631862302310992,0.0,0.0,0.0,0.5240706780923589,0.0,0.0,0.0007532815716047639,0.0,0.0,0.13909805722120772
Stromal 2,0.0,0.06479465404892817,0.0,0.00033725769830174974,0.0,0.5702094596820818,0.005000968028447195,0.0,0.0050020508333495734,0.0,0.008354652424577468,0.00013055521898541316,0.0,0.03558706452388412,0.0,0.0,0.0,0.0,0.016320064664530454,0.0,0.0206025551614489,0.0,0.0,0.0,0.033034158696711946,0.0,0.0,0.0,0.0,0.0005540844295275647,0.2400724745892256
Stromal 3,0.11839523049393119,0.0,0.0,0.002443592801001849,0.0,0.0,0.0,0.0004821991076940895,0.0,0.0,0.0,0.009149367556086448,0.0,0.0,0.0,0.07232089480408467,0.0,0.0,0.0,0.6374952296982367,0.0,0.0036512629704914482,0.0,0.1420793300212386,0.0,0.0,0.0002901349467747408,2.59172508113105e-06,0.0,0.013690165875379086,0.0
TA,0.0,0.0,0.0,0.00012700798870544187,0.0,0.0,0.0067495955897053745,8.025785504874723e-05,0.0,0.0,0.02788163390666568,0.00013838263482097952,0.0,0.047290536268696164,0.0,0.0,0.0,0.0,0.0,0.0,0.9170060823259246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007265034304328543,0.0
TRDV2/TRGV9 gdT,0.0,0.0142218292635054,0.0,0.001607298622754417,0.0,0.12392661615071764,0.18266248697484597,0.0,0.10362645875509109,0.007574804899279395,0.0,0.0,0.0,0.16458292961508755,0.0,0.0,0.0,0.04766701494150317,0.0,0.0,0.03638952589228232,0.0,0.0,0.0,0.0747799163318363,0.2278695918302096,0.0,0.0,0.015091526722887185,0.0,0.0
Treg,0.0,0.0,0.0,0.0016337836135003022,0.0,0.20883375557679248,0.0696345838243226,0.000263150760060431,0.4062440956903904,0.020473752314147508,0.0,0.0,0.0,0.08529440932126318,0.0,0.0,0.0,0.024272924039295766,0.0,0.0,0.0012179437431405643,0.0,0.0,0.0,0.0,0.16326490813779282,0.0,0.0011220250380764073,0.017278884299359826,0.00046578364185763084,0.0
Tuft,0.0,0.0,0.0,0.0,0.0,0.05765800400644836,0.007108510126507483,0.0,0.024809488381313326,0.0,0.0,0.0,0.0,0.07519012810684614,0.0,0.0,0.0,0.04802620990013265,0.5303058800238286,0.0,0.06546953556372646,0.0,0.0,0.0,0.027214542593261278,0.07992717002492325,0.0,0.0,0.0,0.007322933871357913,0.07696759740165457
Venous ECs,0.0,0.0,0.0,0.0,0.02635798454217237,0.0,0.015012187514768599,0.0,0.0,0.0,0.008612971604482645,0.0,0.0,0.0,0.0,0.0,0.007435775873380134,0.0,0.0025323604441003693,0.0,0.0,0.0,0.0694750410886524,0.7964396334916702,0.07234429516190034,0.001789750278872876,0.0,0.0,0.0,0.0,0.0
angiogenic pericyte,0.350262030689795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017230702685662937,0.0,0.03670486313277349,0.0,0.001800285971239811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.566304433107906,0.0,0.0,0.0,0.0002651276354424249,0.0,0.027432556777180466,0.0
cDC1,0.0,0.0,0.0,0.0024934548259288036,0.01094557196436217,0.0544309533496706,0.3651725848745846,6.872904299115971e-06,0.0,0.0046138761241308335,0.0,0.007027044479355289,0.0,0.104929125867239,0.0,0.0,0.0,0.009735321433075103,0.0,0.0,0.061617032780285734,0.0,0.0,0.010085016629000906,0.10599273104963192,0.18457792269238538,0.0,0.0,0.03009952583270594,0.002942276052141182,0.045330689141203674
cDC2,0.0017960376782421826,0.0,0.0003394463892506228,0.0,0.0,0.0,0.8963077790002505,0.0,0.0,0.0,0.09311390720397582,0.0,0.0,0.0,0.0,0.0009922650462374759,0.0,0.0,0.0,0.0012170073021963116,0.0,0.0,0.0,0.001090961364004696,0.0,0.0,0.0,0.0,0.0001946488183967199,0.004947947197445672,0.0
capillary,0.000785105289755047,0.0,0.004502267963063474,0.0015462730764668879,0.0006093774853028815,0.08928732440785359,0.0,0.0,0.016944592901279126,0.04913629087618679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009862576834855067,0.00013936577154287705,0.764489820182294,0.0,0.0,0.0,0.04603205326304376,0.016664951948356377,0.0
mLTo,0.022446473400223495,0.0,0.0,0.0002560657810793847,0.0,0.0,0.016261125185452457,0.0,0.0,0.0,0.0046140772445053746,0.004756566562898498,0.0,0.0,0.0003159196926564045,0.005288470343942429,0.0,0.0,0.0012650849719972525,0.0,0.0,0.010800609208342471,0.0,0.005213751591586257,0.0,0.04996530588504586,0.0,0.0,0.8788165501322701,0.0,0.0
myofibroblast (RSPO2+),0.0,0.0,0.0008427833445270848,0.0003377336388994954,0.022837702276809323,0.0,0.0,0.0,0.0,0.002654401745687464,0.9574241451826656,0.0,0.0,0.0,0.0,0.0,0.0,0.004060687792636529,0.004746409093098473,0.0,0.0,0.0,0.000482042070271861,0.0005431778252814819,0.0,0.001867675927972562,0.0,0.0,0.002599095160764137,0.0016041459413859444,0.0
pDC,0.0,0.0,0.0,0.005822163167501119,0.0,0.13650317196506112,0.13291205464496186,0.0,0.08466758846971219,0.004446851518094659,0.0,0.002129272714678313,0.0,0.1506178931473598,0.0,0.0003157990870921592,0.0,0.09388811052729884,0.0021065555014793996,0.0,0.06906831527192571,0.0,0.0008850109202488256,0.0,0.07931263545460449,0.20350469113484912,0.0,0.0,0.024322854632579948,0.009497031842552406,0.0
