,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11,mean_cell_type_factorsfact_12,mean_cell_type_factorsfact_13,mean_cell_type_factorsfact_14
Glia 1 (DHH+),0.0,0.0,0.0,0.0,0.0,0.0,0.48242099460430726,0.0,0.0,0.0,0.5175790053956927,0.0,0.0,0.0,0.0
Glia 2 (ELN+),0.04987144092918022,0.0,0.0003670541295516474,0.0,0.5618859491615114,0.00044417366058314343,0.011630557596820941,0.005143933398664629,0.014963713667518874,0.16648624218656438,0.018176876814349475,0.06141795529816949,0.009658469970440396,0.08482157672051016,0.01513205646613524
Glia 3 (BCAN+),0.1158463937897522,0.0,0.0,0.0,0.200896218141206,0.1945040224676384,0.03694006967382749,0.07408790768805433,0.0,0.0,0.10269173208707803,0.0,0.0,0.21412571250374793,0.060907943648695555
Goblet cell,0.0,0.0,0.0,0.010982271837370945,0.0051027621684730995,0.0,0.0,0.0,0.14601508537644126,0.25662512810699406,0.0,0.13162855632310774,0.0,0.4446855437075308,0.004960652480082029
ICC,0.004595927772899073,0.0,0.17660758441081004,0.01331528648155995,0.02515191415526192,0.10447878875730764,0.0,0.24532753414720174,0.0,0.00983475820349611,0.009023155060783602,0.0,0.0,0.04361886636220495,0.3680461846484751
ILC2,0.005081892566577862,0.0,0.0,0.0,0.46436654837986546,0.0,0.0,0.0,0.00434931138414307,0.020101105023810163,0.03710374665566032,0.029226605554259735,0.02154794218872454,0.40780665624975354,0.010416191997205202
ILCP,0.00037474650171017934,0.0,3.102221659389111e-05,0.0,0.1997538410766312,0.0,0.0,0.0,0.011286452902632717,0.44419294692211214,0.026185790535824656,0.0,0.011564850016324454,0.29791660824904304,0.00869374157912764
Immature B,0.018249685993078628,0.0,0.0,0.0,0.21080493736628317,0.0,0.0,0.0,0.0,0.08253583391998749,0.3838950792317314,0.0,0.0,0.30451446348891936,0.0
LEC1 (ACKR4+),0.06585099182840189,0.0,0.002031412445101868,0.0,0.42548197208058397,0.0,0.0032933324731961007,0.0,0.004366563789950836,0.0,0.07290179033293365,0.03529552821523691,0.010523675300487102,0.3345727845235029,0.04568194901060477
LEC2 (MADCAM1+),0.0,0.0,0.0,0.0,0.26688485483835955,0.0,0.0,0.0,0.0,0.13955019718694442,0.5886733928973378,0.0,0.004891555077358173,0.0,0.0
LEC4 (STAB2+),0.0,0.0,0.0,0.0,0.0,0.0,0.13502450160308024,0.0,0.0,0.0,0.8502985932745691,0.01467690512235069,0.0,0.0,0.0
LEC5 (CLDN11+),0.0020096408569413924,0.0,0.0,0.0,0.28585126443119596,0.0,0.02388999937244759,0.013654058747285537,0.004903793762134716,0.5463374000300381,0.05173634084372701,0.030796458564963637,0.040821043391266076,0.0,0.0
LTi-like ILC3,0.0,0.0,0.0,0.0,0.27850185704560965,0.0,0.0,0.0,0.016560771674411678,0.341787458200066,0.03719489395179401,0.0,0.011379656024756197,0.2998378479256431,0.014737515177719405
LTi-like NK/T,0.0003442715607127313,0.053503995502243606,0.0,0.0007060604243779822,0.03157635522772608,0.0,0.0,0.0,0.0,0.6049769141221364,0.0,0.30889240316280325,0.0,0.0,0.0
LYVE1+ Macrophages,0.0,0.0,0.0,0.0,0.044222370888753686,0.0,0.3832626758307495,0.0,0.0,0.01853874520856989,0.26315419391655304,0.0,0.09060338529592417,0.0339880901243393,0.16623053873511048
Lymphoid DC,0.0,0.0,0.0,0.0,0.5226465618309327,0.0,0.0,0.0,0.02362028694530241,0.0,0.08203897274282937,0.15149275450572736,0.0,0.20417616479274484,0.01602525918246321
Macrophages,0.0,0.0,0.0,0.0,0.2809319055412742,0.0,0.0,0.0,0.010965272708440641,0.7040416209974331,0.004061200752852182,0.0,0.0,0.0,0.0
Mast cell,0.0946353475872461,0.0,0.007935612972506707,0.0,0.25211653773344905,0.0,0.0,0.0,0.15228655436571753,0.022181091355875975,0.11749989268979213,0.0,0.05522430423539909,0.2566088921721919,0.04151176688782155
Megakaryocyte,0.0052566343979439135,0.0,0.00037490195173376815,0.0,0.1751756681634937,0.0,0.004397103888180342,0.0,0.0,0.0,0.0,0.8090553631848754,0.001921419980887451,0.0,0.00381890843288554
Mesoderm 1 (HAND1+),0.012639180302518389,0.017546080447959595,0.020520474437310286,0.002024755353534863,0.03433246915360333,0.007683165047516844,0.0005267844037579707,0.01289514538698556,0.00026318398028067115,0.748386688604441,0.010847357231433272,0.0,0.018699692157970915,0.07061212171391347,0.043022901778773846
Mesoderm 2 (ZEB2+),0.0,1.2846716938935186e-05,0.00917594010993948,0.030534441079657682,0.0007361896951500454,0.004468372871741882,0.0,0.018227219902998953,0.002793131507616347,0.005964369154117812,0.0,0.00015949225751793114,0.9101977080212202,0.004113404917971011,0.013616883765129525
Mesothelium,0.07108134571009231,0.0,0.0,0.0,0.11193789405179015,0.0,0.05318161095049676,0.0,0.012990539195582134,0.0,0.010368874499638827,0.0587877675610656,0.0028287577141402035,0.2144051211889954,0.4644180891281986
Microfold cell,0.0,0.0,0.0004016510440839561,0.0,0.0,0.0003068987187031537,0.0,0.0,0.0,0.19859037926438242,0.0,0.6829716331730474,0.0010410583204945915,0.11362434110424921,0.003064038375039264
Monocytes,0.0,0.0,0.0,0.0,0.4675624737579808,0.0,0.0,0.0,0.0,0.0,0.25851974700377534,0.00400671632980049,0.045251305423169776,0.2061249950132698,0.018534762472003728
NK T cell,0.0,0.0,0.0,0.0,0.36963475149353253,0.0,0.0,0.0,0.03409224173131948,0.02789225505282428,0.08484763994379807,0.0,0.013427845884208018,0.47010526589431767,0.0
NK cell,0.0,0.0,0.0,0.0,0.37824179566098404,0.0,0.0,0.0,0.02957769043391514,0.17123893145430638,0.041561271118697375,0.0,0.014249767607343903,0.347491847435507,0.017638696289246147
Neuroblast,0.293563209721391,0.0,0.0,0.04978690138852846,0.0,0.0,0.28733019572252344,0.0400014647161842,0.006247185235710901,0.0037653950576664427,0.3193056481579955,0.0,0.0,0.0,0.0
Paneth,0.0,0.0,0.0,0.0,0.02690944766068591,0.0,0.0,0.0,0.02870497951766761,0.02054063053098417,0.0,0.01850894218198062,0.0,0.9053360001086816,0.0
Pericyte,0.13376844712339608,0.0,0.0,0.0,0.3935682276953249,0.0,0.0,0.0,0.2656037790910873,0.0,0.0020274642588900575,0.09286621695666157,0.11216586487464017,0.0,0.0
Pre-B,0.0030803850044144264,0.032420333955102194,0.0,0.0,0.02931928734625971,0.0,0.0,0.0,0.000923768921238468,0.8722205743552977,0.012126091775427544,0.0,0.0036445144779024452,0.04333279490373465,0.0029322492606228445
Pro-B,0.0,0.0,0.0,0.1383261857926149,0.05461383902595079,0.0,0.0,0.0,0.2143095727383735,0.02883811130294975,0.09127764239765064,0.0,0.40000040191416875,0.07263424682829175,0.0
RBC,0.1527470899392688,0.00029811980364575537,0.0,0.0,0.05289201946832351,0.0,0.40835218029698517,0.0,0.0,0.0,0.27190415282476477,0.0023822352590623782,0.1114242024079497,0.0,0.0
SELL+ CD4 T,0.0,0.0,0.029820359999235605,0.0,0.21394898455819097,0.007603611509358537,0.0,0.011667352953653357,0.24081564688586085,0.0,0.08104936884656017,0.0,0.0277884853857971,0.3595887158861866,0.02771747397515671
SELL+ CD8 T,0.15068637514694694,0.0,0.08893367308230357,0.09160913606302992,0.002417577416641959,0.019754378879064206,0.0627715600977197,0.03641973168686495,0.11138435550617831,0.0,0.2848012416968394,0.0,0.01689536816332705,0.045524811502558,0.08880179075852612
SMC (PART1/CAPN3+),0.0,0.0,0.030401584621937424,0.0,0.0,0.0,0.0,0.01872071275891643,0.0,0.0009953115034272754,0.0,0.00046303079064697635,0.0,0.0,0.9494193603250718
SMC (PLPP2+),0.0,0.0006308813083789704,0.7271127910501575,0.0074843465834368295,0.0,0.013493093583894876,0.0,0.028016341617807364,0.0,0.004988915523227326,0.0,0.0031291086186796832,0.007559410439053183,0.0,0.20758511127536436
Stem cells,0.0,0.0007341302067620404,0.0,0.0,0.01611045244864406,0.0,0.0,0.0,0.0,0.0,0.002292187497474946,0.0,0.0,0.9598016708238425,0.021061559023276426
Stromal 1,0.0,0.0,0.0,0.0,0.38410280506901795,0.0,0.0,0.0,0.39359401463190513,0.15418247375203586,2.0325221289333902e-05,0.0,0.0,0.06733659592764096,0.0007637853981107865
Stromal 2,0.0,0.012188012958664248,0.0,0.0,0.723540295521166,0.0,0.0,0.0,0.0,0.09820552726008572,0.0,0.14992477733289977,0.0,0.016141386927184278,0.0
Stromal 3,0.17224378310867,0.0,0.0,0.0,0.0,9.686855657479334e-05,0.7360743372547934,0.0,0.0,0.0,0.0,0.0,0.0005865612894506598,0.00038796723644955337,0.09061048255406148
TA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15066994554413196,0.04255624589811806,0.0,0.0,0.0,0.8067738085577499,0.0
TRDV2/TRGV9 gdT,0.0,0.0,0.0,0.0,0.30640902775122797,0.0,0.0,0.0,0.0029113573089336606,0.004905521381130216,0.019455808871516905,0.39950289052286014,0.007244988243939746,0.2561064669084803,0.003463939011910976
Treg,0.0,0.0,0.0003536253051175174,0.0,0.18740799976030317,0.0,0.0,0.0,0.0,0.0,0.004247367994185553,0.7354140386081055,0.002387937340345766,0.06765014878522789,0.002538882206714516
Tuft,0.000922059342261856,0.04087510191341453,0.0,0.0,0.024063083173502333,0.0,0.0,0.0,0.0028222891880272808,0.7863031068446973,0.0,0.028100818271965703,0.0024934315713729645,0.10300425429343378,0.011415855401324282
Venous ECs,0.6450855855732468,0.0,0.0,0.0,0.0,0.0,0.12948425252448048,0.0,0.0,0.007420053642512376,0.1809546849455976,0.0,0.037055423314162804,0.0,0.0
angiogenic pericyte,0.5900431092410867,0.0,0.0,0.0,0.0,0.0,0.26039637555259926,0.0,0.0,0.0,0.14956051520631414,0.0,0.0,0.0,0.0
cDC1,0.028441444490042538,0.0,0.0,0.0,0.44190189887846804,0.0,0.0,0.0,0.07133867435151194,0.021253302861111663,0.04981447114987056,0.0,0.02211939338751719,0.3516014399555325,0.01352937492594564
cDC2,0.0,0.0,0.0,0.0,0.2510364727130865,0.0,0.0,0.0,0.49040690468044573,0.0,0.10069159640990563,0.0,0.0,0.13772511580883845,0.02013991038772378
capillary,0.015053017466785975,0.0,0.0,0.0,0.6343994444533564,0.0,0.0,0.0,0.19275725359962745,0.0,0.02387775873657578,0.09257102057566315,0.0018498140243576118,0.0,0.03949169114363358
mLTo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07274876825341513,0.927251231746585,0.0,0.0,0.0,0.0
myofibroblast (RSPO2+),0.0,0.004705481224298642,0.0,0.0,0.0,0.0,0.0,0.0,0.9441398680504881,0.0,0.0,0.0,0.05115465072521321,0.0,0.0
pDC,0.0032303359908670485,0.0,0.0010709551982738975,0.0,0.32913964290212794,0.0,0.0,0.0,0.003813132500834495,0.0,0.015676112487216655,0.33684460517600184,0.018610087380694553,0.2665295318946258,0.0250855964693579
